,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
869,35358,2018056278,https://www.domain.com.au/6-kenneth-close-hoppers-crossing-vic-3029-2018056278,Reliance Werribee,https://www.domain.com.au/real-estate-agencies/reliancewerribee-35358,Reliance Werribee,1.0,3,2.0,3029,House,AUWD,Vic,Kenneth,6,Cl,Hoppers Crossing,-37.8638596,144.7142832,,
870,29214,2018065519,https://www.domain.com.au/1-38-abbotswood-drive-hoppers-crossing-vic-3029-2018065519,Ray White Werribee,https://www.domain.com.au/real-estate-agencies/raywhitewerribee-29214,Ray White Werribee,2.0,3,3.0,3029,House,PTSD,Vic,Abbotswood,38,Dr,Hoppers Crossing,-37.849558,144.6701457,1,567777.0
871,35358,2018026600,https://www.domain.com.au/6-berri-court-hoppers-crossing-vic-3029-2018026600,Reliance Werribee,https://www.domain.com.au/real-estate-agencies/reliancewerribee-35358,Reliance Werribee,2.0,3,4.0,3029,House,PTSD,Vic,Berri,6,Ct,Hoppers Crossing,-37.8612398,144.6842333,,
872,25147,2017920307,https://www.domain.com.au/2-16-eleanor-drive-hoppers-crossing-vic-3029-2017920307,Hockingstuart Williamstown,https://www.domain.com.au/real-estate-agencies/hockingstuartwilliamstown-25147,HS Williamstown,1.0,2,1.0,3029,Unit,PTSD,Vic,Eleanor,16,Dr,Hoppers Crossing,-37.86625120000001,144.6757397,2,440000.0
873,121,2017939418,https://www.domain.com.au/23-hunter-avenue-hoppers-crossing-vic-3029-2017939418,Trimson Partners,https://www.domain.com.au/real-estate-agencies/trimsonpartners-121,Trimson Partners,1.0,3,2.0,3029,House,PTSD,Vic,Hunter,23,Av,Hoppers Crossing,-37.869625,144.687543,,635000.0
874,33914,2017878089,https://www.domain.com.au/42-leatherwood-drive-hoppers-crossing-vic-3029-2017878089,Westside Realty Group,https://www.domain.com.au/real-estate-agencies/westsiderealtygroup-33914,Westside Realty Group,2.0,5,4.0,3029,House,PTSD,Vic,Leatherwood,42,Dr,Hoppers Crossing,-37.8533569,144.7014374,,
875,35358,2017950409,https://www.domain.com.au/39-minogue-crescent-hoppers-crossing-vic-3029-2017950409,Reliance Werribee,https://www.domain.com.au/real-estate-agencies/reliancewerribee-35358,Reliance Werribee,2.0,5,2.0,3029,House,PTSD,Vic,Minogue,39,Cr,Hoppers Crossing,-37.8735838,144.687291,,662000.0
876,35358,2017921715,https://www.domain.com.au/59-virgilia-drive-hoppers-crossing-vic-3029-2017921715,Reliance Werribee,https://www.domain.com.au/real-estate-agencies/reliancewerribee-35358,Reliance Werribee,1.0,4,2.0,3029,House,PTSD,Vic,Virgilia,59,Dr,Hoppers Crossing,-37.8562824,144.6823333,,650000.0
877,14364,2018095938,https://www.domain.com.au/17-arnold-street-horsham-vic-3400-2018095938,Wes Davidson Real Estate,https://www.domain.com.au/real-estate-agencies/wesdavidsonrealestate-14364,Wes Davidson Real Estate,1.0,3,1.0,3400,House,PTSD,Vic,Arnold,17,St,Horsham,-36.70583209999999,142.1878917,,329500.0
878,27443,2017827678,https://www.domain.com.au/6-buckley-street-horsham-vic-3400-2017827678,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,1.0,3,2.0,3400,House,PTSD,Vic,Buckley,6,St,Horsham,-36.7146014,142.1841174,,412000.0
879,14364,2017991689,https://www.domain.com.au/5-fraser-drive-horsham-vic-3400-2017991689,Wes Davidson Real Estate,https://www.domain.com.au/real-estate-agencies/wesdavidsonrealestate-14364,Wes Davidson Real Estate,2.0,3,2.0,3400,House,PTSD,Vic,Fraser,5,Dr,Horsham,-36.7016056,142.1923527,,468000.0
880,27443,2018028150,https://www.domain.com.au/3-harmer-court-horsham-vic-3400-2018028150,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,2.0,4,2.0,3400,House,PTSD,Vic,Harmer,3,Ct,Horsham,-36.7267002,142.1789858,,643000.0
